Spotify URI,Song,Released,Days Since,Streams,Listeners,Saves,Save Ratio %,Radio Streams,Radio %,Playlist Adds,Source,Collected At
spotify:track:1FkXU6rVEn6BeFmM5eCb1Q,SAD! - Techno Version,"Jan 20, 2026",68,40051,25706,263,1.02,8080,—,341,S4A Internal API + Page,2026-03-29T08:03:56.632946
spotify:track:5tGGoNV3jBzQ6br5JD6bli,So Easy (To Fall In Love) - Chill House Version,"Feb 20, 2026",37,115385,66173,1405,2.12,54078,—,914,S4A Internal API + Page,2026-03-29T08:04:04.417638
spotify:track:2iBZ9nIxDYuorYzVWIo5zP,WILDFLOWER - Chill House Version,"Feb 8, 2026",49,51062,25979,814,3.13,5265,—,467,S4A Internal API + Page,2026-03-29T08:04:12.231539
spotify:track:59QjLST1fhQzftygzF8pTA,What Is Love - Deep House Version,"Feb 27, 2026",30,109171,68032,1512,2.22,61251,—,803,S4A Internal API + Page,2026-03-29T08:04:19.734401
spotify:track:6dGLJyw0Yx6f0pt1V0AOZC,Dusk Till Dawn - Deep House Version,"Mar 13, 2026",16,73348,52157,837,1.60,34565,—,475,S4A Internal API + Page,2026-03-29T08:04:27.386389
spotify:track:6z7kas3Am13fukVhxlgIMG,Falling Down,"Feb 6, 2026",51,49682,26735,469,1.75,3119,—,448,S4A Internal API + Page,2026-03-29T08:04:35.699100
spotify:track:2lWg4exAPeB059neX5ytEQ,SAD!,"Jan 19, 2026",69,27939,16992,157,0.92,1633,—,276,S4A Internal API + Page,2026-03-29T08:04:44.102993
spotify:track:6PMNjYCr8fJKvz3faH6o2k,everything i wanted - Deep House Version,"Mar 20, 2026",9,24522,18380,193,1.05,8210,—,165,S4A Internal API + Page,2026-03-29T08:04:51.721698
spotify:track:43sUf6tDrtOPdsOepAgs3N,greedy - Deep House Version,"Mar 6, 2026",23,40293,26293,175,0.67,5992,—,267,S4A Internal API + Page,2026-03-29T08:05:00.090318
spotify:track:5HHb5ar2gt8NiqC2ewqX57,Ordinary - Chill House Version,"Feb 20, 2026",37,32173,19996,220,1.10,7619,—,363,S4A Internal API + Page,2026-03-29T08:05:07.517721
spotify:track:7uQmPTXRcGpRcmUaIpxWR6,S&M - Deep House Version,"Mar 13, 2026",16,55091,38822,511,1.32,21400,—,415,S4A Internal API + Page,2026-03-29T08:05:15.295712
spotify:track:50bXTJSWOxB0tPFaE0oCU9,Dracula - Chill House Version,"Feb 27, 2026",30,58038,36808,3610,9.81,22246,—,389,S4A Internal API + Page,2026-03-29T08:05:23.578975
spotify:track:1SAOrmrW2OpEpOmdKWrq9y,New Rules - Chill House Version,"Jan 24, 2026",64,20086,12493,107,0.86,1859,—,294,S4A Internal API + Page,2026-03-29T08:05:31.248724
spotify:track:4rS8q5Zjga8eQgS8YMw8BE,Apologize - Deep House Version,"Mar 6, 2026",23,74761,49762,1096,2.20,36398,—,574,S4A Internal API + Page,2026-03-29T08:05:38.776087
spotify:track:04NI8PhKPfm9DYjduwQ6AU,you broke me first - Chill House Version,"Feb 13, 2026",44,38686,23544,381,1.62,17285,—,301,S4A Internal API + Page,2026-03-29T08:05:46.157034
spotify:track:33llzhjuRJafQVOx7822ei,End of Beginning - Techno Version,"Feb 27, 2026",30,54184,35680,395,1.11,7403,—,343,S4A Internal API + Page,2026-03-29T08:05:53.720196
spotify:track:4PHN1SzzfDxnB0GhJVmbge,New Rules - Techno Version,"Feb 27, 2026",30,82767,55053,658,1.20,31026,—,567,S4A Internal API + Page,2026-03-29T08:06:01.415768
spotify:track:36Dvzx1U8NHzcETIzla0Hx,I Just Might - Chill House Version,"Feb 13, 2026",44,16255,10923,93,0.85,1658,—,240,S4A Internal API + Page,2026-03-29T08:06:08.706120
spotify:track:3kDMpz8lIiYmjFXAbWcJff,I Wanna Be Yours - Techno Version,"Feb 20, 2026",37,40814,26730,231,0.86,6023,—,269,S4A Internal API + Page,2026-03-29T08:06:16.489272
spotify:track:32HHQSF5SghGzHDRTjqwe0,The Fate of Ophelia - Chill House Version,"Jan 23, 2026",65,20466,12168,177,1.45,3072,—,373,S4A Internal API + Page,2026-03-29T08:06:24.270675
spotify:track:3C1V3OqiOnzApH5U7c4QDX,Summertime Sadness - Deep House Version,"Mar 6, 2026",23,55943,36186,540,1.49,16039,—,477,S4A Internal API + Page,2026-03-29T08:06:31.802721
spotify:track:58dlE8MfB15BDpS1T8ttIW,E.T. - Deep House Version,"Mar 20, 2026",9,22850,17737,180,1.01,9715,—,167,S4A Internal API + Page,2026-03-29T08:06:38.773106
spotify:track:6pITjxW1TTjPBgqeOz4mVk,Stateside - Techno Version,"Feb 8, 2026",49,25974,16594,286,1.72,1845,—,338,S4A Internal API + Page,2026-03-29T08:06:46.137893
